6.3792,-0.1423,-2.1087
6.4101,-0.1526,-2.2119
4.5289,0.3267,-1.6252
-4.0362,3.8180,-1.0858
0.8964,-0.0723,0.3998
1.5588,-0.1605,1.7113
2.5392,-0.1535,1.0124
5.8097,-0.1285,-1.4340
1.7889,0.0908,0.4171
5.4211,0.0479,-1.6399
3.5034,0.2537,-0.8222
4.1396,0.3909,-1.5599
2.7556,0.7815,-1.4104
2.1341,1.0730,-1.5279
2.3222,1.2485,-1.7881
-2.8277,0.4294,-0.5569
-1.7245,2.5016,-1.3311
-3.4209,2.3578,-0.8979
-3.9935,3.6070,-1.1444
-3.8746,3.2505,-1.0811
-3.7825,3.0205,-0.9408
-3.1310,2.6246,-0.6172
-0.9942,0.1421,0.5001
-4.2124,4.2127,-1.1892
-3.6702,3.5379,-0.8327
-4.3709,4.5504,-1.2562
-4.4011,4.6786,-1.2733
-4.1096,4.7464,-1.0550
-4.1310,4.9444,-1.1532
-0.8849,-0.3552,1.8257
-4.5287,-2.1826,-0.2313
5.9103,-0.2859,-2.3206
3.7202,-0.2344,0.9783
6.3113,-0.1198,-1.8782
-3.1884,-0.7800,0.7429
-3.0123,-1.0034,1.4933
5.6525,0.0424,-0.4595
-4.4074,-1.9935,-0.7069
0.8343,0.3299,1.5258
5.6800,-0.1676,-0.5777
-4.5578,-2.1957,-0.4849
5.5462,-0.2043,-1.2666
-2.4208,-0.8595,0.7609
-2.6592,-0.8189,1.7016
3.9293,-0.0780,1.0790
-4.6383,-2.2461,-0.8117
4.7645,0.1333,0.8937
6.0191,-0.2616,-1.9416
-2.8148,-0.9651,1.5423
2.1102,-0.1708,1.8000
-4.5561,-2.1424,-0.5814
4.2661,0.2539,1.5560
5.8535,-0.2746,-2.1247
-2.2596,-0.6984,1.8786
1.5931,-0.2921,1.7412
-3.7504,-1.5762,0.6286
0.7120,-0.2608,1.9591
-4.3361,-1.9530,-0.1186
4.0019,0.3344,1.9069
-3.9176,-1.5787,0.4276
3.7326,0.3158,1.9730
-3.9593,-1.7065,0.4417
4.1897,0.2822,1.7194
-3.6390,-1.5099,0.7903
1.0652,-0.3237,1.8197
-2.4556,-0.8922,1.6227
-2.2787,-0.3546,1.7523
4.4838,-0.0084,1.2081
-2.0427,-0.7458,1.7543
-2.9806,-1.0833,1.4256
-0.2697,0.4438,1.7073
4.2590,-0.1737,0.9977
1.4250,-0.3873,1.4763
0.1362,-0.4058,1.6601
-0.0695,-0.3962,1.7014
1.2644,-0.3648,1.6354
0.4373,0.5725,1.9470
-2.0431,-0.7052,1.8080
-0.1121,-0.4059,1.7156
-1.4908,-0.6311,1.8482
-1.3042,-0.6122,1.7934
0.6014,-0.4522,1.5480
0.1377,-0.4380,1.3027
1.1896,0.5168,-0.5731
-4.2572,-1.5483,-0.1171
-5.1203,-2.6862,-1.4361
-5.2403,-2.8898,-1.7826
-1.8851,-0.5762,1.8173
6.2113,-0.1112,-1.6166
-2.6417,0.7665,0.9910
-5.0642,-2.5130,-1.2221
5.6514,-0.0214,-1.2691
-3.6055,-0.9016,0.6524
-5.0154,-2.5812,-1.2429
0.0770,0.5295,1.0209
-4.9166,-2.3743,-1.0565
6.0808,-0.0520,-1.4502
-3.2457,1.1264,0.4137
-5.1632,-2.7002,-1.5129
1.7138,0.3476,1.0073
-4.9323,-2.3477,-1.1056
5.9647,-0.0034,-1.1671
